Country_Region,Population,Weight,Date,TargetValue,Med. Age,Density (P/Km²),Urban Pop %,Week,Day,Weekday,first_infection,days_since_1st_infect
Afghanistan,27657145,0.05835873743558676,2020-01-23,0.0,18.0,60,25.0,4,23,3,2020-02-24,-32
Afghanistan,27657145,0.05835873743558676,2020-01-24,0.0,18.0,60,25.0,4,24,4,2020-02-24,-31
Afghanistan,27657145,0.05835873743558676,2020-01-25,0.0,18.0,60,25.0,4,25,5,2020-02-24,-30
Afghanistan,27657145,0.05835873743558676,2020-01-26,0.0,18.0,60,25.0,4,26,6,2020-02-24,-29
Afghanistan,27657145,0.05835873743558676,2020-01-27,0.0,18.0,60,25.0,5,27,0,2020-02-24,-28
Afghanistan,27657145,0.05835873743558676,2020-01-28,0.0,18.0,60,25.0,5,28,1,2020-02-24,-27
Afghanistan,27657145,0.05835873743558676,2020-01-29,0.0,18.0,60,25.0,5,29,2,2020-02-24,-26
Afghanistan,27657145,0.05835873743558676,2020-01-30,0.0,18.0,60,25.0,5,30,3,2020-02-24,-25
Afghanistan,27657145,0.05835873743558676,2020-01-31,0.0,18.0,60,25.0,5,31,4,2020-02-24,-24
Afghanistan,27657145,0.05835873743558676,2020-02-01,0.0,18.0,60,25.0,5,1,5,2020-02-24,-23
Afghanistan,27657145,0.05835873743558676,2020-02-02,0.0,18.0,60,25.0,5,2,6,2020-02-24,-22
Afghanistan,27657145,0.05835873743558676,2020-02-03,0.0,18.0,60,25.0,6,3,0,2020-02-24,-21
Afghanistan,27657145,0.05835873743558676,2020-02-04,0.0,18.0,60,25.0,6,4,1,2020-02-24,-20
Afghanistan,27657145,0.05835873743558676,2020-02-05,0.0,18.0,60,25.0,6,5,2,2020-02-24,-19
Afghanistan,27657145,0.05835873743558676,2020-02-06,0.0,18.0,60,25.0,6,6,3,2020-02-24,-18
Afghanistan,27657145,0.05835873743558676,2020-02-07,0.0,18.0,60,25.0,6,7,4,2020-02-24,-17
Afghanistan,27657145,0.05835873743558676,2020-02-08,0.0,18.0,60,25.0,6,8,5,2020-02-24,-16
Afghanistan,27657145,0.05835873743558676,2020-02-09,0.0,18.0,60,25.0,6,9,6,2020-02-24,-15
Afghanistan,27657145,0.05835873743558676,2020-02-10,0.0,18.0,60,25.0,7,10,0,2020-02-24,-14
Afghanistan,27657145,0.05835873743558676,2020-02-11,0.0,18.0,60,25.0,7,11,1,2020-02-24,-13
Afghanistan,27657145,0.05835873743558676,2020-02-12,0.0,18.0,60,25.0,7,12,2,2020-02-24,-12
Afghanistan,27657145,0.05835873743558676,2020-02-13,0.0,18.0,60,25.0,7,13,3,2020-02-24,-11
Afghanistan,27657145,0.05835873743558676,2020-02-14,0.0,18.0,60,25.0,7,14,4,2020-02-24,-10
Afghanistan,27657145,0.05835873743558676,2020-02-15,0.0,18.0,60,25.0,7,15,5,2020-02-24,-9
Afghanistan,27657145,0.05835873743558676,2020-02-16,0.0,18.0,60,25.0,7,16,6,2020-02-24,-8
Afghanistan,27657145,0.05835873743558676,2020-02-17,0.0,18.0,60,25.0,8,17,0,2020-02-24,-7
Afghanistan,27657145,0.05835873743558676,2020-02-18,0.0,18.0,60,25.0,8,18,1,2020-02-24,-6
Afghanistan,27657145,0.05835873743558676,2020-02-19,0.0,18.0,60,25.0,8,19,2,2020-02-24,-5
Afghanistan,27657145,0.05835873743558676,2020-02-20,0.0,18.0,60,25.0,8,20,3,2020-02-24,-4
Afghanistan,27657145,0.05835873743558676,2020-02-21,0.0,18.0,60,25.0,8,21,4,2020-02-24,-3
Afghanistan,27657145,0.05835873743558676,2020-02-22,0.0,18.0,60,25.0,8,22,5,2020-02-24,-2
